Name,Date,Temperature,Dew,Humidity,Precipitation
Madhya Pradesh,08-02-2022,19.7,6.4,46.4,0
Madhya Pradesh,09-02-2022,19.7,9.2,53.3,0
Madhya Pradesh,10-02-2022,16.5,8,62,0
Madhya Pradesh,11-02-2022,15.5,3.7,48.8,0
Madhya Pradesh,12-02-2022,17,3.2,42.8,0
Madhya Pradesh,13-02-2022,18,3.7,40.7,0
Madhya Pradesh,14-02-2022,19.5,4.8,40.4,0
Madhya Pradesh,15-02-2022,19.7,6.3,42.9,0
Madhya Pradesh,16-02-2022,19.4,5.3,40.7,0
Madhya Pradesh,17-02-2022,19.7,2.9,34.9,0
Madhya Pradesh,18-02-2022,21,4,34.3,0
Madhya Pradesh,19-02-2022,22.6,9.4,43.7,0
Madhya Pradesh,20-02-2022,20.6,4.6,39.8,0
Madhya Pradesh,21-02-2022,21.1,2.4,33.4,0
Madhya Pradesh,22-02-2022,23.6,4.6,32.9,0
Madhya Pradesh,23-02-2022,24.2,7.2,38,0
Madhya Pradesh,24-02-2022,23.4,6.9,38,0
Madhya Pradesh,25-02-2022,22.2,8.2,43.7,0
Madhya Pradesh,26-02-2022,24.1,5.5,32.4,0
Madhya Pradesh,27-02-2022,24,6.1,36.2,0
Madhya Pradesh,28-02-2022,21,10.5,54,0
Madhya Pradesh,01-03-2022,21.9,7.7,41.9,0
Madhya Pradesh,02-03-2022,22.7,3,29.4,0
Madhya Pradesh,03-03-2022,24,6,33.2,0
Madhya Pradesh,04-03-2022,23.2,8.6,42,0
Madhya Pradesh,05-03-2022,22.4,5.8,37,0
Madhya Pradesh,06-03-2022,23.2,4.2,30.8,0
Madhya Pradesh,07-03-2022,25,4.8,29.4,0.2
Madhya Pradesh,08-03-2022,23.8,9.5,42.2,0
Madhya Pradesh,09-03-2022,23.9,10.3,45.2,0.3
Madhya Pradesh,10-03-2022,24,10.5,46,0
Madhya Pradesh,11-03-2022,24.7,8.8,39.1,0
Madhya Pradesh,12-03-2022,25.1,5.1,30.8,0
Madhya Pradesh,13-03-2022,26.3,4.9,28.9,0
Madhya Pradesh,14-03-2022,27.9,6.9,31.2,0
Madhya Pradesh,15-03-2022,29.1,6.1,25.9,0
Madhya Pradesh,16-03-2022,29.9,2.9,20.2,0
Madhya Pradesh,17-03-2022,29.8,4.2,22.7,0
Madhya Pradesh,18-03-2022,30.1,6,24.2,0
Madhya Pradesh,19-03-2022,29.4,9,31.1,0
Madhya Pradesh,20-03-2022,29.9,3.9,22.2,0
Madhya Pradesh,21-03-2022,29.8,0.8,16.9,0
Madhya Pradesh,22-03-2022,29.5,2.8,20.1,0
Madhya Pradesh,23-03-2022,30.2,3.5,20,0
Madhya Pradesh,24-03-2022,30.9,4.8,21.3,0
Madhya Pradesh,25-03-2022,30.3,3.2,20,0
Madhya Pradesh,26-03-2022,30.2,-0.3,15.9,0
Madhya Pradesh,27-03-2022,29.7,-0.2,18.8,0
Madhya Pradesh,28-03-2022,30.4,0.3,17.3,0
Madhya Pradesh,29-03-2022,30.9,0.6,16.1,0
Madhya Pradesh,30-03-2022,31,1.9,17.4,0
Madhya Pradesh,31-03-2022,31.3,-0.2,14.6,0
Madhya Pradesh,01-04-2022,31.6,1.2,15.9,0
Madhya Pradesh,02-04-2022,31.5,1.7,16.7,0
Madhya Pradesh,03-04-2022,32.1,1.7,16.5,0
Madhya Pradesh,04-04-2022,31.7,-0.8,13.9,0
Madhya Pradesh,05-04-2022,32.1,-0.5,14,0
Madhya Pradesh,06-04-2022,32.6,-1,13.8,0
Madhya Pradesh,07-04-2022,32.9,-0.6,13.1,0
Madhya Pradesh,08-04-2022,32.8,-2.1,12,0
Madhya Pradesh,09-04-2022,33.3,1.5,15.6,0
Madhya Pradesh,10-04-2022,33.7,2,14.8,0
Madhya Pradesh,11-04-2022,33.5,4.3,17.3,0
Madhya Pradesh,12-04-2022,32.9,5.9,19.8,0
Madhya Pradesh,13-04-2022,32.7,3.1,16.6,0
Madhya Pradesh,14-04-2022,32.4,1.9,15.9,0
Madhya Pradesh,15-04-2022,32.3,0.3,14.3,0
Madhya Pradesh,16-04-2022,32.5,3.3,17.8,0
Madhya Pradesh,17-04-2022,33,4.2,17.3,0
Madhya Pradesh,18-04-2022,33.8,3.7,16.2,0
Madhya Pradesh,19-04-2022,33.4,4.5,17.5,0
Madhya Pradesh,20-04-2022,33.8,3.8,16.7,0
Madhya Pradesh,21-04-2022,31.3,6.5,22,0
Madhya Pradesh,22-04-2022,31.8,8.7,25.9,0
Madhya Pradesh,23-04-2022,33.7,2.1,15,0
Madhya Pradesh,24-04-2022,33.1,1.8,15,0
Madhya Pradesh,25-04-2022,33.7,0.7,13.4,0
Madhya Pradesh,26-04-2022,33.6,0.3,13.2,0
Madhya Pradesh,27-04-2022,34.1,1.1,13.6,0
Madhya Pradesh,28-04-2022,34.9,2.1,13.9,0
Madhya Pradesh,29-04-2022,35.6,1.4,12.5,0
Madhya Pradesh,30-04-2022,34.5,4.7,16.5,0
Madhya Pradesh,01-05-2022,34.2,10.9,25.6,0
Madhya Pradesh,02-05-2022,34.5,10,23.8,0.1
Madhya Pradesh,03-05-2022,34.6,9.6,22.8,0
Madhya Pradesh,04-05-2022,33.9,7.1,20.3,0
Madhya Pradesh,05-05-2022,34,4.4,16.4,0
Madhya Pradesh,06-05-2022,33.9,7.4,20.9,0
Madhya Pradesh,07-05-2022,34.4,7.8,20.5,0
Madhya Pradesh,08-05-2022,34.9,4.6,17.3,0
Madhya Pradesh,09-05-2022,35.7,2.9,14,0
Madhya Pradesh,10-05-2022,35.8,9.3,20.9,0
Madhya Pradesh,11-05-2022,35.4,11,24.3,0
Madhya Pradesh,12-05-2022,36.4,8,20.5,0
Madhya Pradesh,13-05-2022,36.7,6.6,18,0
Madhya Pradesh,14-05-2022,37.1,9.4,20.5,0
Madhya Pradesh,15-05-2022,36.4,10.6,22.7,0
Madhya Pradesh,16-05-2022,35.6,5,16.8,0
Madhya Pradesh,17-05-2022,34.9,6.5,18.3,0
Madhya Pradesh,18-05-2022,34.3,7.1,19.8,0
Madhya Pradesh,19-05-2022,35.2,7.7,20.1,0
Madhya Pradesh,20-05-2022,36.8,9.3,20,0
Madhya Pradesh,21-05-2022,35.3,11,24.8,0
Madhya Pradesh,22-05-2022,33.2,14.9,36,0
Madhya Pradesh,23-05-2022,31.5,16.9,43.7,0
Madhya Pradesh,24-05-2022,30.4,15.5,46.2,2
Madhya Pradesh,25-05-2022,33.3,14.2,33.3,0
Madhya Pradesh,26-05-2022,34.7,12.6,28,0.1
Madhya Pradesh,27-05-2022,33.6,13.7,31.4,0
Madhya Pradesh,28-05-2022,33.2,16,37.6,0
Madhya Pradesh,29-05-2022,33.4,16.9,39,0
Madhya Pradesh,30-05-2022,34.7,14.9,33.7,0
Madhya Pradesh,31-05-2022,35,11.8,26.7,0
Madhya Pradesh,01-06-2022,34.9,11.6,26.3,0
Madhya Pradesh,02-06-2022,35.9,7.3,18.5,0
Madhya Pradesh,03-06-2022,36.4,8.2,18.5,0
Madhya Pradesh,04-06-2022,35.9,9.1,20.5,0
Madhya Pradesh,05-06-2022,35.7,7.5,18.5,0
Madhya Pradesh,06-06-2022,36.4,6.3,16.5,0
Madhya Pradesh,07-06-2022,35.9,8,19.5,0
Madhya Pradesh,08-06-2022,35.8,12.5,26,0
Madhya Pradesh,09-06-2022,35.2,14.1,29.7,0
Madhya Pradesh,10-06-2022,35.6,14.6,30.3,0.1
Madhya Pradesh,11-06-2022,32.6,17.7,43.4,0.4
Madhya Pradesh,12-06-2022,28.9,20,60,0.1
Madhya Pradesh,13-06-2022,30.8,19.7,53.1,0.4
Madhya Pradesh,14-06-2022,32,19.4,49.1,1.1
Madhya Pradesh,15-06-2022,32.6,18.9,45.8,1.2
Madhya Pradesh,16-06-2022,29.4,21.1,63.1,0.4
Madhya Pradesh,17-06-2022,27.5,22,73.9,11
Madhya Pradesh,18-06-2022,28.7,21.7,67.1,3
Madhya Pradesh,19-06-2022,28.2,21.9,69.7,4
Madhya Pradesh,20-06-2022,25.9,22,80.5,30
Madhya Pradesh,21-06-2022,27.6,21.3,69.8,4.1
Madhya Pradesh,22-06-2022,28.6,21.3,67,10
Madhya Pradesh,23-06-2022,28.2,21.1,66.6,10
Madhya Pradesh,24-06-2022,30.6,19.5,55.2,0
Madhya Pradesh,25-06-2022,31.6,18.8,49.3,0
Madhya Pradesh,26-06-2022,31.8,20,51,0
Madhya Pradesh,27-06-2022,30.4,21.6,60.5,1.7
Madhya Pradesh,28-06-2022,29,23.4,72.2,7
Madhya Pradesh,29-06-2022,29.1,22.8,69.5,3.3
Madhya Pradesh,30-06-2022,25.8,22.7,83.2,2
Madhya Pradesh,01-07-2022,26.4,22.9,81.8,1
Madhya Pradesh,02-07-2022,28.2,22.8,73.9,2
Madhya Pradesh,03-07-2022,27.2,23.1,79,24
Madhya Pradesh,04-07-2022,25.7,23.7,88.7,99
Madhya Pradesh,05-07-2022,26.9,23.6,83,25
Madhya Pradesh,06-07-2022,26.8,23.1,81,0.6
Madhya Pradesh,07-07-2022,26.1,24.1,89.3,14.4
Madhya Pradesh,08-07-2022,27.3,24.2,84,5
Madhya Pradesh,09-07-2022,26.9,23.3,81.7,7.6
Madhya Pradesh,10-07-2022,26.6,22.8,81.4,164.4
Madhya Pradesh,11-07-2022,24.2,23.5,95.9,35
Madhya Pradesh,12-07-2022,26.4,24.1,88.1,74
Madhya Pradesh,13-07-2022,26.6,23.8,85.5,39
Madhya Pradesh,14-07-2022,27.1,23.6,82.2,17
Madhya Pradesh,15-07-2022,24.9,23.7,93,32
Madhya Pradesh,16-07-2022,26.6,23.6,84.4,29
Madhya Pradesh,17-07-2022,26.5,24.1,87.2,5
Madhya Pradesh,18-07-2022,26.8,24,85.2,56
Madhya Pradesh,19-07-2022,25.7,23.8,89.1,3.5
Madhya Pradesh,20-07-2022,24.8,23.1,90.1,1.4
Madhya Pradesh,21-07-2022,25,23,89.4,7.7
Madhya Pradesh,22-07-2022,24.6,23.4,92.8,33
Madhya Pradesh,23-07-2022,24.2,23.1,93.7,45
Madhya Pradesh,24-07-2022,24.2,23.3,94.5,62
Madhya Pradesh,25-07-2022,23.7,22.9,95.5,45
Madhya Pradesh,26-07-2022,24.9,22.9,89,8
Madhya Pradesh,27-07-2022,25.6,22.7,84.5,0.2
Madhya Pradesh,28-07-2022,26.3,23,82.9,1
Madhya Pradesh,29-07-2022,26.7,22.8,80,0.6
Madhya Pradesh,30-07-2022,26.6,22.7,80.1,0
Madhya Pradesh,31-07-2022,26.9,22.5,77.7,0.7
Madhya Pradesh,01-08-2022,26.3,22.2,78.4,0.1
Madhya Pradesh,02-08-2022,26.9,22.7,78.8,0.2
Madhya Pradesh,03-08-2022,27.6,23.3,78.9,2.9
Madhya Pradesh,04-08-2022,26.2,24.2,89,10
Madhya Pradesh,05-08-2022,27.8,23.5,79,9
Madhya Pradesh,06-08-2022,27.4,23.5,80.4,29.4
Madhya Pradesh,07-08-2022,27.2,23.9,82.8,0.3
Madhya Pradesh,08-08-2022,26.4,23.9,86.9,2
Madhya Pradesh,09-08-2022,25.4,23.8,90.7,28
Madhya Pradesh,10-08-2022,25.3,23.9,91.9,20
Madhya Pradesh,11-08-2022,24.2,23.5,96.1,64
Madhya Pradesh,12-08-2022,25.5,23,87,4
Madhya Pradesh,13-08-2022,24.9,22.8,88.3,15
Madhya Pradesh,14-08-2022,24.8,22.9,89.7,1
Madhya Pradesh,15-08-2022,23.3,22.8,97,104
Madhya Pradesh,16-08-2022,23.4,22.3,93.6,72
Madhya Pradesh,17-08-2022,24.9,22.3,85.9,0.6
Madhya Pradesh,18-08-2022,25.7,22.1,81.4,0
Madhya Pradesh,19-08-2022,25.8,22.5,82.9,0
Madhya Pradesh,20-08-2022,24.6,22.4,87.9,4
Madhya Pradesh,21-08-2022,23.3,22.4,94.5,128
Madhya Pradesh,22-08-2022,22,21.4,96.5,256
Madhya Pradesh,23-08-2022,23.7,21.9,89.6,10.8
Madhya Pradesh,24-08-2022,24.8,21.7,83.8,3
Madhya Pradesh,25-08-2022,24.1,22.1,88.9,5
Madhya Pradesh,26-08-2022,25.5,21.3,78.9,0.1
Madhya Pradesh,27-08-2022,24.8,22,85,2.4
Madhya Pradesh,28-08-2022,25.6,22.1,81.9,0.6
Madhya Pradesh,29-08-2022,25.3,22.4,84.5,0.2
Madhya Pradesh,30-08-2022,26,22.8,83.2,0.1
Madhya Pradesh,31-08-2022,27.3,23.1,79.5,0.7
Madhya Pradesh,01-09-2022,26.1,23.4,85.6,6
Madhya Pradesh,02-09-2022,26.9,22.8,79.4,1
Madhya Pradesh,03-09-2022,27.9,23.6,78.6,3.4
Madhya Pradesh,04-09-2022,26,23.1,84.4,28
Madhya Pradesh,05-09-2022,26.2,22.5,81.4,0
Madhya Pradesh,06-09-2022,26.1,22.5,81.3,22
Madhya Pradesh,07-09-2022,27.8,22.8,75.7,0.7
Madhya Pradesh,08-09-2022,28.3,22.7,72.6,0.3
Madhya Pradesh,09-09-2022,28.1,23.2,75.7,0.2
Madhya Pradesh,10-09-2022,27.4,23.6,80.7,0.2
Madhya Pradesh,11-09-2022,27.7,23.3,78,0
Madhya Pradesh,12-09-2022,26.7,23,80.9,4
Madhya Pradesh,13-09-2022,24.5,23.3,92.8,30
Madhya Pradesh,14-09-2022,24,23.1,94.9,26
Madhya Pradesh,15-09-2022,24.5,22.8,90.4,18
Madhya Pradesh,16-09-2022,23.9,22.8,93.2,22
Madhya Pradesh,17-09-2022,25,21.9,84.2,0.1
Madhya Pradesh,18-09-2022,25.9,21.4,77.2,0.1
Madhya Pradesh,19-09-2022,26.6,21.5,75.2,0.3
Madhya Pradesh,20-09-2022,26.2,21.3,75.6,0
Madhya Pradesh,21-09-2022,25.2,22.2,84.5,1.1
Madhya Pradesh,22-09-2022,23.9,21.7,87.6,0.2
Madhya Pradesh,23-09-2022,22.3,21,92.5,0.9
Madhya Pradesh,24-09-2022,24.8,20.8,79.4,0
Madhya Pradesh,25-09-2022,25,20.2,75.6,0
Madhya Pradesh,26-09-2022,26.1,20.4,72.5,0
Madhya Pradesh,27-09-2022,26.6,21.2,73.7,0
Madhya Pradesh,28-09-2022,27.2,20.5,69.1,0.3
Madhya Pradesh,29-09-2022,27.5,20.3,67.4,0.2
Madhya Pradesh,30-09-2022,27.3,19.5,64.7,0
Madhya Pradesh,01-10-2022,26.9,18.6,62.8,0
Madhya Pradesh,02-10-2022,26.6,19,64.6,0.1
Madhya Pradesh,03-10-2022,26.7,17.1,58.9,0
Madhya Pradesh,04-10-2022,26.2,18.7,64.5,0
Madhya Pradesh,05-10-2022,25.1,21.9,83.3,3
Madhya Pradesh,06-10-2022,25.4,22.4,85.1,46
Madhya Pradesh,07-10-2022,24.8,22.2,86.5,19
Madhya Pradesh,08-10-2022,25.3,22.1,83.2,0.3
Madhya Pradesh,09-10-2022,26,22.2,80.5,2.7
Madhya Pradesh,10-10-2022,25.1,22.3,85,55
Madhya Pradesh,11-10-2022,25,21.4,81.4,13
Madhya Pradesh,12-10-2022,25.9,18.9,68.3,0
Madhya Pradesh,13-10-2022,24.7,14.9,58.8,0
Madhya Pradesh,14-10-2022,23.4,14.2,59.5,0
Madhya Pradesh,15-10-2022,23.5,12.8,54.6,0
Madhya Pradesh,16-10-2022,23.8,12.7,52.7,0
Madhya Pradesh,17-10-2022,24.3,16.7,63.4,0
Madhya Pradesh,18-10-2022,24.9,15,55.9,0
Madhya Pradesh,19-10-2022,24.4,12.3,50.2,0
Madhya Pradesh,20-10-2022,23.6,13.5,55.6,0
Madhya Pradesh,21-10-2022,23.9,10.8,47.1,0
Madhya Pradesh,22-10-2022,23.2,10.9,48.2,0
Madhya Pradesh,23-10-2022,23.7,9.7,44.9,0
Madhya Pradesh,24-10-2022,22.6,9.4,46.9,0
Madhya Pradesh,25-10-2022,22.7,8.9,44.7,0
Madhya Pradesh,26-10-2022,24.4,8.8,41.3,0
Madhya Pradesh,27-10-2022,24.1,10.1,45,0
Madhya Pradesh,28-10-2022,24.5,10.4,44.3,0
Madhya Pradesh,29-10-2022,24.4,10.6,44.9,0
Madhya Pradesh,30-10-2022,23.3,10.3,46.8,0
Madhya Pradesh,31-10-2022,22.2,9.2,46.4,0
Madhya Pradesh,01-11-2022,21.9,10.2,50.8,0
Madhya Pradesh,02-11-2022,23.2,10.5,48.4,0
Madhya Pradesh,03-11-2022,24.2,10.2,45.6,0
Madhya Pradesh,04-11-2022,25,11.3,45.5,0
Madhya Pradesh,05-11-2022,25,12.4,49.1,0
Madhya Pradesh,06-11-2022,25.3,10,42.6,0
Madhya Pradesh,07-11-2022,24.8,11.3,45.4,0
Madhya Pradesh,08-11-2022,24.2,9.8,43.1,0
Madhya Pradesh,09-11-2022,23.8,10.8,46.4,0
Madhya Pradesh,10-11-2022,23.9,11.3,47.3,0
Madhya Pradesh,11-11-2022,23.4,12.5,51.9,0
Madhya Pradesh,12-11-2022,21.7,8.2,44.6,0
Madhya Pradesh,13-11-2022,20.9,7.5,44.2,0
Madhya Pradesh,14-11-2022,21.4,8.4,46.1,0
Madhya Pradesh,15-11-2022,21.5,7.9,44.4,0
Madhya Pradesh,16-11-2022,22.1,8.9,46.5,0
Madhya Pradesh,17-11-2022,20.9,6.5,43,0
Madhya Pradesh,18-11-2022,19.4,3.5,38.2,0
Madhya Pradesh,19-11-2022,18.6,3.6,39.2,0
Madhya Pradesh,20-11-2022,18.3,5.3,44.8,0
Madhya Pradesh,21-11-2022,18.3,7.7,52.7,0
Madhya Pradesh,22-11-2022,18.9,5,43.5,0
Madhya Pradesh,23-11-2022,19.6,6.1,43.4,0
Madhya Pradesh,24-11-2022,19.4,5.3,41.9,0
Madhya Pradesh,25-11-2022,19.1,2.6,35.8,0
Madhya Pradesh,26-11-2022,18.5,3.7,39.8,0
Madhya Pradesh,27-11-2022,18.5,3.8,40.2,0
Madhya Pradesh,28-11-2022,19.1,4.2,39.8,0
Madhya Pradesh,29-11-2022,19.4,5.2,40.7,0
Madhya Pradesh,30-11-2022,19,7.9,50,0
Madhya Pradesh,01-12-2022,18.2,7.2,50.5,0
Madhya Pradesh,02-12-2022,18.8,8.2,52,0
Madhya Pradesh,03-12-2022,19.7,10.3,56.4,0
Madhya Pradesh,04-12-2022,20.3,10.8,55.9,0
Madhya Pradesh,05-12-2022,20.6,11.6,58,0
Madhya Pradesh,06-12-2022,19.3,11.4,60.9,0
Madhya Pradesh,07-12-2022,18.1,3.1,40.7,0
Madhya Pradesh,08-12-2022,17.6,1.9,37.2,0
Madhya Pradesh,09-12-2022,17.5,4.1,43.5,0
Madhya Pradesh,10-12-2022,18.3,7,49.8,0
Madhya Pradesh,11-12-2022,20.2,8.9,49.9,0
Madhya Pradesh,12-12-2022,21.7,10.8,51,0
Madhya Pradesh,13-12-2022,19.7,12.5,67.2,10
Madhya Pradesh,14-12-2022,19.6,9,51.6,0
Madhya Pradesh,15-12-2022,21.1,10.2,51.4,0
Madhya Pradesh,16-12-2022,21.5,13.3,61.2,0
Madhya Pradesh,17-12-2022,20.1,9.8,54.3,0
Madhya Pradesh,18-12-2022,18,6.3,50,0
Madhya Pradesh,19-12-2022,18.4,6.1,48.4,0
Madhya Pradesh,20-12-2022,19.4,6.1,44.1,0
Madhya Pradesh,21-12-2022,20.7,7.7,44.6,0
Madhya Pradesh,22-12-2022,20.5,10.1,54,0
Madhya Pradesh,23-12-2022,21.2,12,58,0
Madhya Pradesh,24-12-2022,18.7,10.4,60.7,0
Madhya Pradesh,25-12-2022,16,7.9,59.9,0
Madhya Pradesh,26-12-2022,16.3,9.2,63.7,0
Madhya Pradesh,27-12-2022,16.3,8.5,61.2,0
Madhya Pradesh,28-12-2022,16.5,3.9,47.4,0
Madhya Pradesh,29-12-2022,18.4,2.9,39.2,0
Madhya Pradesh,30-12-2022,19.7,7,45.8,0
Madhya Pradesh,31-12-2022,17.4,7.8,55,0
Madhya Pradesh,01-01-2023,15.3,6.9,60.3,0
Madhya Pradesh,02-01-2023,13.4,6.6,66.5,0
Madhya Pradesh,03-01-2023,11.5,8.6,83.9,0
Madhya Pradesh,04-01-2023,11.7,5.4,69.5,0
Madhya Pradesh,05-01-2023,12.1,5.5,68.3,0
Madhya Pradesh,06-01-2023,13.8,4.6,58.7,0
Madhya Pradesh,07-01-2023,14.5,3.7,53.1,0
Madhya Pradesh,08-01-2023,14.9,2,46,0
Madhya Pradesh,09-01-2023,16.1,2.8,46.4,0
Madhya Pradesh,10-01-2023,16.5,2.9,44.5,0
Madhya Pradesh,11-01-2023,17.5,6.3,52.8,0
Madhya Pradesh,12-01-2023,18.3,10.3,61.6,0
Madhya Pradesh,13-01-2023,17.8,12.5,72.7,0
Madhya Pradesh,14-01-2023,15.2,5.7,56.2,0
Madhya Pradesh,15-01-2023,12.9,5.4,63.6,0
Madhya Pradesh,16-01-2023,13.3,6.3,64,0
Madhya Pradesh,17-01-2023,13.5,3,50.6,0
Madhya Pradesh,18-01-2023,13.8,1,44.6,0
Madhya Pradesh,19-01-2023,14.7,3.5,49.1,0
Madhya Pradesh,20-01-2023,19.1,10.3,58.6,0
Madhya Pradesh,21-01-2023,19,12.5,69.1,0
Madhya Pradesh,22-01-2023,18.9,13.8,74.9,0
Madhya Pradesh,23-01-2023,20.5,13.4,66.7,0
Madhya Pradesh,24-01-2023,20.8,13.9,67.2,0
Madhya Pradesh,25-01-2023,18.1,15.2,85.2,1
Madhya Pradesh,26-01-2023,17.7,15,85.5,20
Madhya Pradesh,27-01-2023,16.8,15.8,94.1,0
Madhya Pradesh,28-01-2023,18,14.3,80.1,0
Madhya Pradesh,29-01-2023,21.8,12.7,59.3,0
Madhya Pradesh,30-01-2023,18.7,13.8,76.8,0
Madhya Pradesh,31-01-2023,16.8,11.9,74.6,0
Madhya Pradesh,01-02-2023,15.6,7.7,64.6,0
Madhya Pradesh,02-02-2023,15.6,3.7,51.3,0
Madhya Pradesh,03-02-2023,17.9,3.8,45.1,0
Madhya Pradesh,04-02-2023,18.6,2.8,39.4,0
Madhya Pradesh,05-02-2023,19.7,6.3,49.7,0
Madhya Pradesh,06-02-2023,21.2,4.9,38.1,0
Madhya Pradesh,07-02-2023,20.2,5.9,41.8,0
Madhya Pradesh,08-02-2023,19.2,1.9,34.9,0
Madhya Pradesh,09-02-2023,20.2,4.7,44.8,0
Madhya Pradesh,10-02-2023,22.6,4.1,32.8,0
Madhya Pradesh,11-02-2023,22,5,35.3,0
Madhya Pradesh,12-02-2023,20.2,4,38.6,0
Madhya Pradesh,13-02-2023,17.4,-1.5,32.5,0
Madhya Pradesh,14-02-2023,18.8,-1.8,27.7,0
Madhya Pradesh,15-02-2023,21.4,2.7,32.2,0
Madhya Pradesh,16-02-2023,22.9,4.8,33.9,0
Madhya Pradesh,17-02-2023,22.2,6.5,39.5,0
Madhya Pradesh,18-02-2023,22,6.7,41.4,0
Madhya Pradesh,19-02-2023,23,6.4,39.3,0
Madhya Pradesh,20-02-2023,24.2,6.6,37.6,0
Madhya Pradesh,21-02-2023,24.3,2.4,29.2,0
Madhya Pradesh,22-02-2023,23,5.6,34.9,0
Madhya Pradesh,23-02-2023,23.9,7.9,38.7,0
Madhya Pradesh,24-02-2023,24,6.9,36.9,0
Madhya Pradesh,25-02-2023,23.9,5.6,34.5,0
Madhya Pradesh,26-02-2023,24.8,3.7,28.6,0
Madhya Pradesh,27-02-2023,25,3.4,26.5,0
Madhya Pradesh,28-02-2023,25.4,5,28.6,0
Madhya Pradesh,01-03-2023,26.2,7.5,33.3,0
Madhya Pradesh,02-03-2023,25.9,8.1,34.9,0
Madhya Pradesh,03-03-2023,26.3,6.5,30.7,0
Madhya Pradesh,04-03-2023,26.1,6.6,30.8,0
Madhya Pradesh,05-03-2023,24.5,10.3,43.5,0
Madhya Pradesh,06-03-2023,24,9.3,45.5,6
Madhya Pradesh,07-03-2023,22.1,11.3,53.3,1.2
Madhya Pradesh,08-03-2023,23.5,10.2,48.4,0.2
Madhya Pradesh,09-03-2023,23,8.3,42.3,0
Madhya Pradesh,10-03-2023,23.4,6.9,38.1,0
Madhya Pradesh,11-03-2023,24.4,7,34.5,0
Madhya Pradesh,12-03-2023,25.5,5.5,30.1,0
Madhya Pradesh,13-03-2023,26.5,6,29,0
Madhya Pradesh,14-03-2023,26.4,6.1,30,0
Madhya Pradesh,15-03-2023,25.4,8.5,35.4,1
Madhya Pradesh,16-03-2023,25.4,10.4,40.6,0
Madhya Pradesh,17-03-2023,24.6,10.8,44.7,0.8
Madhya Pradesh,18-03-2023,23.4,12.7,53.7,2
Madhya Pradesh,19-03-2023,20.8,13.7,67.3,0.5
Madhya Pradesh,20-03-2023,21.4,13.9,65.9,0.8
Madhya Pradesh,21-03-2023,24.2,10.5,45.8,0.1
Madhya Pradesh,22-03-2023,24.5,10.7,43.9,0
Madhya Pradesh,23-03-2023,25.8,9.9,38.9,0
Madhya Pradesh,24-03-2023,26.9,10.3,36.8,0
Madhya Pradesh,25-03-2023,26.9,9.9,36.8,0
Madhya Pradesh,26-03-2023,26.1,5.9,29.8,0
Madhya Pradesh,27-03-2023,26,5.5,29,0
Madhya Pradesh,28-03-2023,27,6.4,28.5,0
Madhya Pradesh,29-03-2023,28.3,5.8,25.7,0
Madhya Pradesh,30-03-2023,28.3,6.1,25.9,0
Madhya Pradesh,31-03-2023,25.3,11.8,44.2,2
